N Cities,Time,Length,Initial Ta

5,0.008807182312011719,1916,10

5,0.0301363468170166,1916,10

5,0.013628482818603516,1916,10

5,0.011646747589111328,1916,10

5,0.004765033721923828,1916,10

5,0.0076940059661865234,1916,1

5,0.00852823257446289,1916,1

5,0.016042470932006836,1916,1

5,0.009282588958740234,1916,5

5,0.011595964431762695,1916,5

5,0.007772207260131836,1916,5

5,0.01033473014831543,1916,5

5,0.00960850715637207,1916,5

6,0.011827230453491211,2890,5

6,0.008996248245239258,2492,5

6,0.012906312942504883,2492,5

6,0.013027191162109375,2456,5

6,0.008021116256713867,2492,5

6,0.006551504135131836,2890,10

6,0.014247417449951172,2456,10

6,0.016202926635742188,2456,10

6,0.03596806526184082,2456,10

6,0.013327598571777344,2890,10

7,0.013268470764160156,2017,10

7,0.015803813934326172,2245,10

7,0.011432886123657227,2017,10

7,0.01697063446044922,2017,10

7,0.011404037475585938,2017,10

7,0.00668644905090332,2017,5

7,0.012587785720825195,2017,5

7,0.012319564819335938,2017,5

7,0.021394014358520508,2245,5

7,0.01351022720336914,2245,5

15,0.059005022048950195,2489,5

15,0.033516645431518555,3207,5

15,0.036466121673583984,3256,5

15,0.04536795616149902,2698,5

15,0.02190852165222168,2696,5

15,0.0390625,2386,10

15,0.028308391571044922,3190,10

15,0.028856515884399414,3214,10

15,0.02573990821838379,2302,10

15,0.030963659286499023,2552,10

15,0.03611588478088379,2444,10

20,0.044678688049316406,3343,10

20,0.03849983215332031,2990,10

20,0.056443214416503906,2732,10

20,0.05205559730529785,2448,10

20,0.06000041961669922,2706,10

20,0.03536033630371094,2361,5

20,0.03534245491027832,3523,5

20,0.04727792739868164,3273,5

20,0.04672956466674805,3064,5

20,0.04260730743408203,3456,5

20,0.02957630157470703,2823,1

20,0.04336071014404297,3196,1

20,0.03592848777770996,3502,1

20,0.04015326499938965,2967,1

20,0.025087356567382812,2749,1

20,0.04098773002624512,2788,1

20,0.08310413360595703,2620,100

20,0.10433769226074219,2558,100

20,0.14847517013549805,2577,100

20,0.11858296394348145,1975,100

20,0.09241056442260742,2537,100

20,0.05425453186035156,2294,100

20,0.12240266799926758,2658,100

20,0.04831838607788086,2181,100

20,0.0876920223236084,2735,100

30,0.17531299591064453,5756,10

30,0.14875078201293945,4649,10

30,0.09470939636230469,5868,10

30,0.09056711196899414,4898,10

30,0.12575364112854004,4366,10

30,0.12728142738342285,4980,5

30,0.11466574668884277,4757,5

30,0.1197209358215332,5632,5

30,0.08999514579772949,4914,5

30,0.1192476749420166,4925,5

30,0.0883791446685791,5218,1

30,0.0532681941986084,4959,1

30,0.04622220993041992,5900,1

30,0.0498502254486084,6008,1

30,0.04885983467102051,6214,1

50,0.19646024703979492,10778,1

50,0.2399609088897705,10417,1

50,0.23298215866088867,11798,1

50,0.1745145320892334,10937,1

50,0.16162800788879395,10226,1

50,0.17525100708007812,10853,1

50,0.26845288276672363,10615,5

50,0.2702972888946533,10108,5

50,0.2798330783843994,10062,5

50,0.26273322105407715,10156,5

50,0.37192511558532715,10349,5

50,0.3860602378845215,9850,10

50,0.3125152587890625,8735,10

50,0.32752561569213867,10018,10

50,0.37323665618896484,9525,10

50,0.2804422378540039,8733,10

75,1.5656230449676514,15939,10

75,1.1769828796386719,14321,10

75,1.1532981395721436,14803,10

75,1.0887484550476074,14990,10

75,1.3032331466674805,14286,10

75,0.9792599678039551,15570,5

75,1.1653151512145996,15468,5

75,1.012059211730957,14807,5

75,1.0772037506103516,16499,5

75,1.0078115463256836,16536,5

75,0.6926887035369873,15555,1

75,0.654299259185791,17020,1

75,0.6222338676452637,17937,1

75,0.8645930290222168,15487,1

75,0.7235894203186035,18845,1

75,0.8449468612670898,17391,1

100,2.7615432739257812,19695,10

100,2.8145337104797363,19771,10

100,3.5356130599975586,21561,10

100,2.5727803707122803,21780,5

100,2.322596311569214,24038,5

100,2.389303207397461,21259,5

100,2.5254170894622803,23119,5

100,2.276404619216919,24178,5

100,1.7695424556732178,26890,1

100,1.5532634258270264,22992,1

100,1.5899076461791992,24423,1

100,1.5652782917022705,27161,1

100,1.797771692276001,24371,1

100,1.4081971645355225,26085,0.5

100,1.3379156589508057,26238,0.5

100,0.0023741722106933594,55938,0.01

100,0.006544828414916992,49499,0.01

100,0.42133402824401855,35633,0.1

100,0.5821831226348877,40818,0.1

100,0.48188328742980957,35535,0.1

100,1.1404156684875488,30761,0.3

150,9.866235733032227,39124,10

150,9.693662405014038,38943,10

150,12.026976585388184,33671,50

150,9.486484289169312,37497,10

150,13.261209487915039,30965,100

150,5.858188152313232,38833,1

