N Cities,Time,Length,Initial Ta,Alpha

5,0.004422903060913086,1916,10,0.99

5,0.0009980201721191406,1916,10,0.5

5,0.0037839412689208984,1916,10,0.25

5,0.0035059452056884766,2437,10,0.1

5,0.0027964115142822266,2542,10,0.05

6,0.002796649932861328,2456,10,0.99

6,0.00012612342834472656,3240,10,0.5

6,0.005582332611083984,2607,10,0.25

6,0.0009641647338867188,3019,10,0.1

6,0.003446340560913086,2492,10,0.05

7,0.004273653030395508,2547,10,0.99

7,0.0010428428649902344,2526,10,0.5

7,0.006137847900390625,2197,10,0.25

7,0.0009961128234863281,2734,10,0.1

7,0.0020868778228759766,2611,10,0.05

15,0.003707408905029297,5013,10,0.99

15,0.004467964172363281,3782,10,0.75

15,0.005507469177246094,5624,10,0.5

15,0.0074558258056640625,6627,10,0.25

15,0.00474858283996582,8307,10,0.1

15,0.004847049713134766,8689,10,0.05

20,0.004424095153808594,5896,10,0.99

20,0.007332563400268555,5773,10,0.75

20,0.004292964935302734,8319,10,0.5

20,0.0011942386627197266,8327,10,0.25

20,0.0043451786041259766,8306,10,0.1

20,0.0037581920623779297,7837,10,0.05

30,0.004292964935302734,10876,10,0.99

30,0.00695037841796875,12921,10,0.75

30,0.0020117759704589844,14544,10,0.5

30,0.0019969940185546875,12432,10,0.25

30,0.003923654556274414,13177,10,0.1

30,0.0009953975677490234,12163,10,0.05

50,0.017552614212036133,22106,10,0.99

50,0.011507034301757812,21614,10,0.75

50,0.010383844375610352,22893,10,0.5

50,0.006430387496948242,22322,10,0.25

50,0.003220796585083008,26167,10,0.1

50,0.00832819938659668,23122,10,0.05

100,0.08498859405517578,48670,10,0.99

100,0.10091352462768555,46656,10,0.75

100,0.03889942169189453,47317,10,0.5

100,0.0484919548034668,51036,10,0.25

100,0.03708481788635254,50847,10,0.1

100,0.02097010612487793,46124,10,0.05

75,0.0816340446472168,36081,10,0.99

75,0.04629015922546387,32471,10,0.75

75,0.02069234848022461,34875,10,0.5

75,0.028684616088867188,34328,10,0.25

75,0.013348102569580078,37533,10,0.1

75,0.01674675941467285,37096,10,0.05

150,0.23463106155395508,73758,10,0.99

150,0.28345417976379395,71895,10,0.75

150,0.16632890701293945,74925,10,0.5

150,0.10164356231689453,75535,10,0.25

150,0.07444381713867188,72103,10,0.1

150,0.10451984405517578,79249,10,0.05

