N Cities,Time,Length,Initial Ta,Stop criteria

75,0.6370866298675537,18479,10,0.99

75,0.5040249824523926,17992,10,0.99

75,0.6726827621459961,18664,10,0.99

75,0.5598528385162354,18651,10,0.99

75,0.9027457237243652,20573,10,0.99

75,0.6707549095153809,17354,10,0.75
75,0.7332768440246582,20344,10,0.75
75,0.7779054641723633,17221,10,0.75
75,0.7411794662475586,16520,10,0.75
75,0.7681982517242432,19044,10,0.75
75,0.7808668613433838,17508,10,0.5
75,0.6715362071990967,15207,10,0.5
75,0.7754836082458496,18012,10,0.5
75,0.8189339637756348,18321,10,0.5
75,0.8487386703491211,17033,10,0.5
75,0.7817964553833008,14996,10,0.25
75,1.1809964179992676,15942,10,0.25
75,1.0308399200439453,15765,10,0.25
75,0.968616247177124,16426,10,0.25
75,1.0933852195739746,16267,10,0.25
75,1.0339508056640625,15147,10,0.1
75,1.332474946975708,16035,10,0.1
75,1.1863360404968262,13924,10,0.1
75,1.1153178215026855,14222,10,0.1
75,1.2100212574005127,16533,10,0.1
75,1.3356468677520752,15976,10,0.05
75,1.1727118492126465,13841,10,0.05
75,1.6179914474487305,14539,10,0.05
75,1.351830244064331,16695,10,0.05
75,1.5544579029083252,13601,10,0.05
